model_name,family,rmse,users_evaluated,precision@10,recall@10,ndcg@10,map@10,coverage
svdpp_n_factors20_reg_all0.02,model_cf,0.9244844446131355,926.0,0.08423326133909287,0.06117694360465892,0.10044564591755936,0.048164210638659125,0.16464891041162227
svdpp_n_factors50_reg_all0.05,model_cf,0.9183714119916365,926.0,0.07753779697624202,0.05819225448972199,0.09121027305964591,0.04182126331254048,0.12832929782082325
svd_n_factors100_reg_all0.05,model_cf,0.9315033204931356,926.0,0.06889848812095062,0.04622497270270184,0.07325223514474546,0.03028841502203639,0.08777239709443099
svd_n_factors50_reg_all0.02,model_cf,0.9364329694876369,926.0,0.06857451403887721,0.05291704991114002,0.08413654925997296,0.03777482869397666,0.11561743341404358
svd_n_factors20_reg_all0.02,model_cf,0.9387372378086648,926.0,0.0651187904967605,0.04554972603449401,0.07269513786894137,0.03064916269283495,0.08050847457627118
nmf_n_factors100,model_cf,1.1060007915083763,926.0,0.05550755939524864,0.04293572905970248,0.06564364205018784,0.02764261784227332,0.16707021791767554
nmf_n_factors50,model_cf,1.0345066208220208,926.0,0.040496760259179414,0.03020595277978037,0.04630971901195546,0.018326682674909826,0.21912832929782083
nmf_n_factors20,model_cf,0.9767189956456602,926.0,0.018790496760259165,0.01345891986977377,0.020031796636481983,0.0071623591541248085,0.2506053268765133
user_mean,baseline,1.0420791107787533,,,,,,
global_mean,baseline,1.1240747101088298,,,,,,
