observed_ratings,stage,user_id,precision@10,recall@10,ndcg@10,ap@10
0,popularity,759,0.7,0.28,0.7381919257729245,0.5541666666666667
0,popularity,766,0.2,0.029850746268656716,0.31488013066763093,0.15
0,popularity,775,0.3,0.16666666666666666,0.2835149363066189,0.11666666666666665
0,popularity,781,0.3,0.10714285714285714,0.424926013816671,0.24166666666666664
0,popularity,798,0.5,0.05154639175257732,0.5867945846769145,0.375
0,popularity,802,0.3,0.075,0.29025978496956456,0.12333333333333334
0,popularity,813,0.1,0.1,0.06625422345438903,0.01111111111111111
0,popularity,815,0.4,0.03571428571428571,0.5231737964779628,0.325
0,popularity,819,0.2,0.08333333333333333,0.14465249243306436,0.03888888888888888
0,popularity,823,0.5,0.03597122302158273,0.5727555047321237,0.3708333333333333
0,popularity,831,0.5,0.125,0.5795003533950692,0.38416666666666666
0,popularity,837,0.3,0.15789473684210525,0.30240383049385083,0.13999999999999999
0,popularity,859,0.1,0.038461538461538464,0.07336392209936005,0.014285714285714285
0,popularity,867,0.4,0.0547945205479452,0.46270962158308354,0.25
0,popularity,869,0.2,0.11764705882352941,0.33013764944712026,0.16666666666666666
0,popularity,874,0.2,0.08695652173913043,0.1884441521277154,0.06666666666666667
0,popularity,882,0.5,0.049019607843137254,0.5330752584449808,0.31
0,popularity,892,0.7,0.04093567251461988,0.6975961695061491,0.4979761904761905
0,popularity,894,0.6,0.041666666666666664,0.6830838076905166,0.4958333333333333
0,popularity,897,0.4,0.03305785123966942,0.42650769853316917,0.20607142857142854
0,popularity,898,0.1,0.0625,0.07336392209936005,0.014285714285714285
0,popularity,899,0.3,0.037037037037037035,0.42257499837058643,0.22999999999999998
0,popularity,901,0.4,0.047619047619047616,0.44793214080335986,0.22749999999999998
0,popularity,905,0.2,0.125,0.17630010660342912,0.05555555555555556
0,popularity,908,0.3,0.075,0.40350157154648025,0.2095238095238095
0,popularity,911,0.0,0.0,0.0,0.0
0,popularity,916,0.5,0.036231884057971016,0.5727555047321237,0.3708333333333333
0,popularity,918,0.0,0.0,0.0,0.0
0,popularity,930,0.2,0.09090909090909091,0.12987501165334076,0.03111111111111111
0,popularity,938,0.7,0.14893617021276595,0.7702043899253147,0.6164285714285714
0,popularity,939,0.2,0.05128205128205128,0.20248323207250624,0.06999999999999999
0,popularity,943,0.3,0.03125,0.424926013816671,0.24166666666666664
1,content,7,0.0,0.0,0.0,0.0
1,content,21,0.1,0.02127659574468085,0.22009176629808017,0.1
1,content,28,0.0,0.0,0.0,0.0
1,content,31,0.2,0.08,0.18340980524840012,0.06190476190476191
1,content,33,0.0,0.0,0.0,0.0
1,content,35,0.0,0.0,0.0,0.0
1,content,50,0.0,0.0,0.0,0.0
1,content,53,0.0,0.0,0.0,0.0
1,content,54,0.0,0.0,0.0,0.0
1,content,62,0.3,0.02654867256637168,0.35970991185182927,0.16190476190476188
1,content,65,0.1,0.016666666666666666,0.13886244387355454,0.05
1,content,67,0.0,0.0,0.0,0.0
1,content,69,0.1,0.02631578947368421,0.22009176629808017,0.1
1,content,71,0.0,0.0,0.0,0.0
1,content,72,0.0,0.0,0.0,0.0
1,content,80,0.0,0.0,0.0,0.0
1,content,81,0.1,0.038461538461538464,0.08514311764162098,0.02
1,content,83,0.0,0.0,0.0,0.0
1,content,97,0.1,0.02127659574468085,0.08514311764162098,0.02
1,content,98,0.0,0.0,0.0,0.0
1,content,99,0.0,0.0,0.0,0.0
1,content,107,0.0,0.0,0.0,0.0
1,content,111,0.0,0.0,0.0,0.0
1,content,114,0.0,0.0,0.0,0.0
1,content,118,0.0,0.0,0.0,0.0
1,content,121,0.0,0.0,0.0,0.0
1,content,124,0.0,0.0,0.0,0.0
1,content,130,0.1,0.00390625,0.11004588314904008,0.03333333333333333
1,content,133,0.0,0.0,0.0,0.0
1,content,140,0.0,0.0,0.0,0.0
1,content,141,0.0,0.0,0.0,0.0
1,content,149,0.0,0.0,0.0,0.0
1,content,152,0.4,0.04597701149425287,0.4721567066247473,0.25666666666666665
1,content,155,0.0,0.0,0.0,0.0
1,content,169,0.0,0.0,0.0,0.0
1,content,176,0.2,0.05263157894736842,0.3589542101716347,0.2
1,content,187,0.0,0.0,0.0,0.0
1,content,190,0.0,0.0,0.0,0.0
1,content,201,0.0,0.0,0.0,0.0
1,content,209,0.0,0.0,0.0,0.0
1,content,212,0.1,0.058823529411764705,0.22009176629808017,0.1
1,content,217,0.3,0.1,0.36288691033421744,0.16607142857142856
1,content,223,0.1,0.023809523809523808,0.11004588314904008,0.03333333333333333
1,content,237,0.1,0.023809523809523808,0.06362078819895171,0.01
1,content,242,0.0,0.0,0.0,0.0
1,content,245,0.0,0.0,0.0,0.0
1,content,252,0.0,0.0,0.0,0.0
1,content,260,0.1,0.058823529411764705,0.07839826897867533,0.016666666666666666
1,content,264,0.0,0.0,0.0,0.0
1,content,267,0.1,0.008,0.09478836436955078,0.025
1,content,271,0.0,0.0,0.0,0.0
1,content,279,0.0,0.0,0.0,0.0
1,content,282,0.0,0.0,0.0,0.0
1,content,284,0.0,0.0,0.0,0.0
1,content,290,0.0,0.0,0.0,0.0
1,content,292,0.0,0.0,0.0,0.0
1,content,296,0.0,0.0,0.0,0.0
1,content,301,0.3,0.018404907975460124,0.28165758790969186,0.11607142857142856
1,content,305,0.0,0.0,0.0,0.0
1,content,307,0.3,0.04411764705882353,0.199306233590118,0.06472222222222221
